titulo,ano,calificacion,duracion
174. Trainspotting: La vida en el abismo,1996,8.1,1h 33m
175. Atrápame si puedes,2002,8.1,2h 21m
176. Fargo. Secuestro voluntario,1996,8.1,1h 38m
177. La última pelea,2011,8.1,2h 20m
178. Spider-Man: Sin Camino A Casa,2021,8.2,2h 28m
179. Gran Torino,2008,8.1,1h 56m
180. Harry Potter y las reliquias de la muerte (parte 2),2011,8.1,2h 10m
181. Golpes del destino,2004,8.1,2h 12m
182. Mi vecino Totoro,1988,8.1,1h 26m
183. Mad Max: Furia en el camino,2015,8.1,Desconocido
184. Ben-Hur,1959,8.1,3h 32m
185. Los niños del cielo,1997,8.2,1h 29m
186. Barry Lyndon,1975,8.1,3h 5m
187. 12 años esclavo,2013,8.1,2h 14m
188. Blade Runner,1982,8.1,1h 57m
189. Antes del amanecer,1995,8.1,1h 41m
190. El gran hotel Budapest,2014,8.1,1h 39m
191. Hasta el último hombre,2016,8.1,2h 19m
192. La sociedad de los poetas muertos,1989,8.1,2h 8m
193. Perdida,2014,8.1,2h 29m
194. Salinui chueok,2003,8.1,2h 11m
195. Maharaja,2024,8.5,2h 21m
196. En el nombre del padre,1993,8.1,2h 13m
197. La quimera del oro,1925,8.1,1h 35m
"198. Monsters, Inc.",2001,8.1,1h 32m
199. Relatos salvajes,2014,8.1,2h 2m
200. Ratatouille,2007,8.1,1h 51m
201. Cómo entrenar a tu dragón,2010,8.1,1h 38m
202. El francotirador,1978,8.1,3h 3m
203. Tiburón,1975,8.1,2h 4m
204. Sherlock Jr.,1924,8.2,Desconocido
205. La General,1926,8.1,1h 18m
206. Mary and Max,2009,8.1,1h 32m
207. Nido de ratas,1954,8.1,1h 48m
208. El salario del miedo,1953,8.1,2h 36m
209. Contra lo imposible,2019,8.1,2h 32m
210. Fresas silvestres,1957,8.1,1h 32m
211. Caballero sin espada,1939,8.1,2h 9m
212. El tercer hombre,1949,8.1,1h 44m
213. Logan. Wolverine,2017,8.1,2h 17m
214. Rocky,1976,8.1,Desconocido
215. Cuentos de Tokio,1953,8.1,2h 16m
216. El gran Lebowski: Identidad peligrosa,1998,8.1,1h 57m
217. El séptimo sello,1957,8.1,1h 36m
218. En primera plana,2015,8.1,2h 9m
219. La Habitacion,2015,8.1,1h 58m
220. Terminator,1984,8.1,1h 47m
221. Hotel Ruanda,2004,8.1,2h 1m
222. Pelotón,1986,8.1,Desconocido
223. Piratas del Caribe: La maldición de la Perla Negra,2003,8.1,2h 23m
224. El odio,1995,8.1,1h 38m
225. Jai Bhim,2021,8.7,2h 44m
226. Antes del atardecer,2004,8.1,1h 20m
227. La pasión de Juana de Arco,1928,8.1,1h 50m
228. Los mejores años de nuestras vidas,1946,8.1,2h 50m
229. El exorcista,1973,8.1,2h 2m
230. El mago de Oz,1939,8.1,1h 42m
231. Rush: Pasión y gloria,2013,8.1,2h 3m
232. Los increíbles,2004,8.0,1h 55m
233. Poder que mata,1976,8.1,2h 1m
234. Cuenta conmigo,1986,8.1,1h 29m
235. Siempre a tu lado,2009,8.1,1h 33m
236. Un condenado a muerte se escapa,1956,8.2,1h 41m
237. La novicia rebelde,1965,8.1,2h 52m
238. Mi padre y mi hijo,2005,8.2,1h 52m
239. Ser o no ser,1942,8.1,1h 39m
240. The Handmaiden,2016,8.1,2h 25m
241. Camino salvaje,2007,8.1,2h 28m
242. La batalla de Argel,1966,8.1,2h 1m
243. El gigante de hierro,1999,8.1,1h 26m
244. Las viñas de la ira,1940,8.1,2h 9m
245. Hechizo del tiempo,1993,8.0,1h 41m
246. Amores perros,2000,8.0,2h 34m
"247. Rebeca, una mujer inolvidable",1940,8.1,2h 10m
248. Historias cruzadas,2011,8.1,2h 26m
249. La leyenda del indomable,1967,8.0,2h 7m
250. Una voz silenciosa: Koe No Katachi,2016,8.1,2h 10m
